ID,element,alpha
1,H,0.666793
2,He,0.204956
3,Li,24.3
4,Be,5.6
5,B,3.03
6,C,1.76
7,N,1.1
8,O,0.802
9,F,0.557
10,Ne,0.3956
11,Na,24.11
12,Mg,10.6
13,Al,6.8
14,Si,5.38
15,P,3.63
16,S,2.9
17,Cl,2.18
18,Ar,1.6411
19,K,43.4
20,Ca,22.8
21,Sc,17.8
22,Ti,14.6
23,V,12.4
24,Cr,11.6
25,Mn,9.4
26,Fe,8.4
27,Co,7.5
28,Ni,6.8
29,Cu,6.2
30,Zn,5.75
31,Ga,8.12
32,Ge,6.07
33,As,4.31
34,Se,3.77
35,Br,3.05
36,Kr,2.4844
37,Rb,47.3
38,Sr,27.6
39,Y,22.7
40,Zr,17.9
41,Nb,15.7
42,Mo,12.8
43,Tc,11.4
44,Ru,9.6
45,Rh,8.6
46,Pd,4.8
47,Ag,7.2
48,Cd,7.36
49,In,10.2
50,Sn,7.7
51,Sb,6.6
52,Te,5.5
53,I,5.35
54,Xe,4.044
55,Cs,59.42
56,Ba,39.7
57,La,31.1
58,Ce,29.6
59,Pr,28.2
60,Nd,31.4
61,Pm,30.1
62,Sm,28.8
63,Eu,27.7
64,Gd,23.5
65,Tb,25.5
66,Dy,24.5
67,Ho,23.6
68,Er,22.7
69,Tm,21.8
70,Yb,21
71,Lu,21.9
72,Hf,16.2
73,Ta,13.1
74,W,11.1
75,Re,9.7
76,Os,8.5
77,Ir,7.6
78,Pt,6.5
79,Au,5.8
80,Hg,5.02
81,Tl,7.6
82,Pb,6.8
83,Bi,7.4
84,Po,6.8
85,At,6
86,Rn,5.3
87,Fr,47.1
88,Ra,38.3
89,Ac,32.1
90,Th,32.1
91,Pa,25.4
92,U,24.9
93,Np,24.8
94,Pu,24.5
95,Am,23.3
96,Cm,23
97,Bk,22.7
98,Cf,20.5
99,Es,19.7
100,Fm,23.8
101,Md,18.2
102,No,17.5
